article,singular,plural,translation
das,Jahr,-e,year
das,Mal,-e,time
das,Beispiel,-e,example
die,Zeit,-en,time (hour)
die,Frau,-en,"woman, wife, Mrs."
der,Mensch,-en,"human being, man"
das,Deutsch,Sg.,German
das,Kind,-er,child
der,Tag,-e,day
der,Mann,-"er,man
das,Land,-"er,"land, country, state"
die,Frage,-n,question
das,Haus,-"er,house
der,Fall,-"e,"fall, case"
die,Leute,Pl.,people
die,Arbeit,-en,work
das,Prozent,-e,percent
die,Hand,-"e,hand
die,Stadt,-"e,"city, town"
der,Herr,-en,"man, Mr."
der/das,Teil,-e,part
das,Problem,-e,problem
die,Welt,-en,world
das,Recht,-e,"right, law"
das,Ende,-n,end
die,Million,-en,million
die,Schule,-n,school
die,Woche,-n,week
der,Vater,-",father
die,Seite,-n,"side, page"
das,Leben,-,life
die,Mutter,-",mother
der,Grund,-"e,"reason, basis"
das,Auge,-n,eye
das,Wort,-"er,word
das,Geld,-er,money
die,Art,-en,"type, kind"
der,Bereich,-e,"area, region"
der,Weg,-e,"path, way"
die,Stunde,-n,hour
der,Name,-n,name
die,Geschichte,-n,"history, story"
die,Gesellschaft,-en,"society, company"
der,Kopf,-"e,head
das,Paar,-e,"pair, couple"
die,Möglichkeit,-en,possibility
das,Unternehmen,-,"enterprise, company"
das,Bild,-er,picture
das,Buch,-"er,book
das,Wasser,-,water
die,Stelle,-n,place
die,Form,-en,"form, shape"
die,Entwicklung,-en,development
der,Monat,-e,month
die,Familie,-n,family
der,Morgen,-,morning
der,Abend,-e,evening
die,Aufgabe,-n,"task, assignment, job"
die,Universität,-en,university
der,Sinn,-e,"sense, meaning"
der,Staat,-en,state
das,Ziel,-e,"destination, goal"
der,Freund,-e,friend
das,Thema,die Themen,"subject, topic, theme"
die,Person,-en,person
der,Euro,-,euro
die,Nacht,-"e,night
das,Ding,-e,thing
der,Raum,-"e,"room, space"
der,Blick,-e,"look, view, glance"
der,Platz,-"e,"place, room, square"
die,Zahl,-en,number
das,System,-e,system
die,Uhr,-en,"clock, watch, o'clock"
die,Eltern,Pl.,parents
die,Straße,-n,street
die,Minute,-n,minute
die,Gruppe,-n,group
der,Wert,-e,value
das,Gesicht,-er,face
die,Sprache,-n,language
der,Anfang,-"e,beginning
der,Ort,-e,"place, town, location"
der,Moment,-e,moment
die,Folge,-n,"result, consequence"
das,Interesse,-n,interest
die,Milliarde,-n,billion
die,Rolle,-n,role
die,Tür,-en,door
der,Schüler,-,"pupil, student"
die,Bedeutung,-en,"meaning, significance"
der,Text,-e,text
das,Ergebnis,-se,result
der,Krieg,-e,war
die,Weise,-n,"way, manner"
die,Regierung,-en,"rule, government"
das,Stück,-e,piece
die,Wohnung,-en,apartment
das,Gespräch,-e,conversation
der,Meter,-,meter
der,Punkt,-e,"dot, point, period"
die,Situation,-en,situation
der,Lehrer,-,teacher
der,Preis,-e,"price, prize"
die,Abbildung,-en,illustration
der,Begriff,-e,"concept, idea, term"
die,Funktion,-en,function
der,Boden,-","ground, floor, bottom"
das,Jahrhundert,-e,century
der,Sohn,-"e,son
das,Werk,-e,work
die,Stimme,-n,"voice, vote"
der,Rahmen,-,"frame, framework"
die,Richtung,-en,direction
das,Programm,-e,program
die,Angst,-"e,"fear, anxiety"
die,Information,-en,information
die,Kunst,-"e,art
die,Musik,-en,music
die,Politik,-en,politics
der,Beruf,-e,"occupation, job, profession"
die,Regel,-n,rule
der,Schritt,-e,step
der,Absatz,-"e,"sales, paragraph, heel"
der,Gott,-"er,god
das,Auto,-s,"automobile, car"
die,Beziehung,-en,"relation, relationship"
die,Erfahrung,-en,experience
der,Tisch,-e,table
die,Zukunft,-"e,future
das,Spiel,-e,game
das,Gefühl,-e,feeling
das,Licht,-er,light
der,Präsident,-en,president
der,Markt,-"e,market
die,Bank,-"e,"bank, bench"
die,Partei,-en,political party
die,Tochter,-",daughter
das,Verhältnis,-se,relationship
die,Kirche,-n,church
der,Film,-e,film
der,Gedanke,-n,thought
der,Doktor,-en,doctor
das,Mädchen,-,girl
die,Entscheidung,-en,decision
der,Prozess,-e,"trial, process"
der,Betrieb,-e,"business, operation"
der,Zusammenhang,-"e,"connection, context"
das,Gesetz,-e,law
der,Arm,-e,arm
die,Firma,die Firmen,"firm, company"
die,Kraft,-"e,"strength, power"
der,Student,-en,student
das,Zuhause,Sg.,home
die,Chance,-n,chance
die,Zeitung,-en,newspaper
der,Erfolg,-e,success
die,Grenze,-n,"border, frontier"
der,Satz,-"e,sentence
das,Angebot,-e,offer
das,Internet,Sg.,internet
die,Kultur,-en,culture
die,Lage,-n,"situation, location"
die,Leistung,-en,performance
das,Mitglied,-er,member
das,Projekt,-e,project
das,Zimmer,-,room
der,Chef,-s,"head, leader, boss"
der,Zug,-"e,train
der,Arzt,-"e,"physician, doctor"
das,Auftreten,Sg.,"behavior, conduct, occurrence"
der,Fuß,-"e,foot
der,Körper,-,body
die,Klasse,-n,class
die,Lösung,-en,solution
das,Verhalten,-,behavior
die,Höhe,-n,"height, altitude"
der,Junge,-n,boy
das,Fenster,-,window
die,Luft,-"e,air
die,Meinung,-en,opinion
die,Idee,-n,idea
das,Produkt,-e,product
das,Studium,die Studien,"study, studies"
der,Vergleich,-e,comparison
das,Mittel,-,means
das,Modell,-e,model
die,Natur,-en,nature
das,Bett,-en,bed
der,Kunde,-n,"customer, client"
der,Mitarbeiter,-,"employee, co-worker"
der,Tod,-e,death
das,Geschäft,-e,business
der,Spaß,-"e,fun
die,Wirtschaft,-en,"economy, commerce"
das,Tier,-e,animal
die,Bewegung,-en,"movement, motion"
der,Gast,-"e,guest
die,Sicherheit,-en,"security, safety"
der,Einsatz,-"e,"inset, deployment"
das,Gebiet,-e,"region, area"
der,Dank,Sg.,gratefulness
das,Dorf,-"er,village
der,Kollege,-n,colleague
die,Angabe,-n,"information, statement"
der,Bruder,-",brother
die,Verfügung,-en,disposal
das,Fach,-"er,"compartment, subject"
das,Herz,-en,heart
der,Kontakt,-e,contact
die,Menge,-n,"quantity, amount"
der,Sommer,-,summer
der,Unterschied,-e,difference
der,Anspruch,-"e,claim
die,Antwort,-en,"answer, reply"
die,Verbindung,-en,"connection, link"
die,Vorstellung,-en,"idea, introduction"
die,Anwendung,-en,"application, use"
das,Alter,-,age
die,Kosten,Pl.,"costs, expenses"
der,Patient,-en,patient
die,Polizei,-en,police
das,Theater,-,theater
die,Ausbildung,-en,"training, development"
die,Gefahr,-en,danger
das,Gerät,-e,"tool, piece of equipment, appliance"
der,Kilometer,-,kilometer
die,Hilfe,-n,help
der,Computer,-,computer
der,Dollar,-,dollar
das,Verfahren,-,"method, process, technique"
der,Vertrag,-"e,contract
die,Maßnahme,-n,measure
die,Mitte,-n,middle
die,Ordnung,-en,"order, tidiness"
der,Stoff,-e,"material, substance"
der,Beginn,-e,beginning
das,Glück,Sg.,"luck, fortune"
das,Wochenende,-n,weekend
der,Professor,-en,professor
die,Reihe,-n,"row, line"
der,Westen/West,Sg.,west
die,Bevölkerung,-en,"population, people"
das,Institut,-e,institute
der,Osten/Ost,Sg.,east
die,Schwester,-n,sister
die,Erde,-n,"earth, ground, soil"
die,Ebene,-n,"plane, level"
die,Reise,-n,"journey, trip"
die,Einheit,-en,"unity, unit"
das,Haar,-e,hair
das,Lächeln,-,smile
die,Nähe,Sg.,"vicinity, proximity"
das,Prinzip,-ien,principle
der,Vorteil,-e,advantage
die,Struktur,-en,structure
der,Autor,-en,author
die,Bedingung,-en,"condition, stipulation"
das,Risiko,die Risiken,risk
die,Wahl,-en,"choice, election"
die,Wirkung,-en,effect
der,Brief,-e,letter
die,Größe,-n,"size, height"
die,Medien,Pl.,media
die,Macht,-"e,"power, strength"
die,Untersuchung,-en,"examination, investigation"
die,Veränderung,-en,change
die,Daten,Pl.,data
der,Einfluss,-"e,influence
die,Methode,-n,method
die,Organisation,-en,organization
die,Liebe,-n,love
die,Rede,-n,"speech, talk"
der,Sport,-e,sport
der,Augenblick,-e,moment
die,Diskussion,-en,"discussion, debate"
die,Forderung,-en,"demand, claim"
der,Kreis,-e,"circle, district"
die,Technik,-en,"technology, technique"
der,Versuch,-e,"attempt, experiment"
das,Schweigen,Sg.,silence
die,Krankheit,-en,"illness, disease"
die,Schwierigkeit,-en,difficulty
die,Tätigkeit,-en,activity
die,Voraussetzung,-en,"condition, requirement"
der,Kampf,-"e,"fight, struggle"
der,Künstler,-,artist
die,Region,-en,region
der,Eindruck,-"e,impression
die,Reaktion,-en,reaction
der,Beitrag,-"e,contribution
das,Konzept,-e,"draft, plan"
die,Linie,-n,line
der,Mund,-"er,mouth
der,Wunsch,-"e,wish
der,Artikel,-,article
der,Gegensatz,-"e,"opposite, contrast"
das,Kapitel,-,chapter
die,Literatur,-en,literature
der,Rücken,-,back
die,Zelle,-n,cell
die,Aussage,-n,statement
der,Bürger,-,citizen
der,Himmel,-,"sky, heaven"
der,Inhalt,-e,"contents, plot"
die,Wand,-"e,wall
die,Bibliothek,-en,library
die,Farbe,-n,color
der/die,Jugendliche,-,adolescent
das,Maß,-e,measure
der,Ansatz,-"e,"approach, attempt"
der,Aspekt,-e,aspect
das,Bein,-e,leg
die,Erinnerung,-en,memory
die,Kenntnis,-se,knowledge
der,Kurs,-e,"course, exchange rate"
das,Papier,-e,paper
die,Sekunde,-n,second
die,Sonne,-n,sun
der,Umstand,-"e,circumstance
die,Wissenschaft,-en,science
der,Garten,-",garden
die,Küche,-n,"kitchen, cuisine"
die,Wirklichkeit,-en,reality
der,Druck,-e,"pressure, printing"
das,Essen,-,"food, meal"
die,Grundlage,-n,basis
der,Zustand,-"e,"condition, state"
die,Hälfte,-n,half
das,Meer,-e,"sea, ocean"
der,Dienst,-e,"service, duty"
der,Gegenstand,-"e,object
der,Plan,-"e,plan
der,Zeitpunkt,-e,"moment, point in time"
der,Auftrag,-"e,"instructions, order, job"
der,Baum,-"e,tree
die,Freude,-n,joy
die,Gemeinde,-n,"community, municipality"
der,Hinweis,-e,hint
das,Netz,-e,"net, network"
die,Position,-en,position
der,Schluss,-"e,"end, conclusion"
die,Bundesrepublik,-en,Federal Republic
die,Forschung,-en,research
das,Glas,-"er,glass
die,Haut,-"e,skin
die,Praxis,die Praxen,"practice, doctor's office"
der,Wald,-"er,"forest, woods"
der,Ausdruck,-"e,"term, expression"
der,Finger,-,finger
die,Freundin,-nen,friend
der,Roman,-e,novel
die,Sicht,-en,"view, visibility"
die,Theorie,-n,theory
die,Umwelt,-en,environment
der,Haushalt,-e,"household, budget"
der,Hund,-e,dog
die,Maschine,-n,machine
die,Nummer,-n,number
der,Politiker,-,politician
das,Team,-s,team
der,Titel,-,title
der,Verein,-e,"association, club"
das,Fernsehen,Sg.,television
die,Schulter,-n,shoulder
die,Unterstützung,-en,support
das,Zeichen,-,sign
das,Material,-ien,material
die,Produktion,-en,production
der,Rest,-e,"rest, remains"
die,Ruhe,Sg.,"silence, peace"
der,Schaden,-",damage
der,Soldat,-en,soldier
die,Sorge,-n,worry
die,Tatsache,-n,fact
die,Umgebung,-en,surroundings
das,Volk,-"er,people
der,Wagen,-,"car, carriage"
der,Wind,-e,wind
der,Zweck,-e,purpose
der,Angriff,-e,attack
der,Antrag,-"e,application
der/das,Grad,-e,degree
der,Job,-s,job
die,Öffentlichkeit,Sg.,public
der,Schutz,-e,protection
der,Anteil,-e,"share, portion"
der/die,Beschäftigte,-,employee
der,Besuch,-e,visit
die,Energie,-n,energy
die,Erklärung,-en,explanation
der,Gang,-"e,"corridor, aisle, course"
der,Lauf,-"e,"course, running"
der,Unterricht,-e,"instruction, classes"
das,Zentrum,die Zentren,center
das,Amt,-"er,"office, department, function"
der,Anschlag,-"e,attack
das,Ausland,Sg.,foreign countries
die,Behandlung,-en,treatment
die,Einrichtung,-en,"institution, furnishings"
das,Feld,-er,field
die,Hochschule,-n,"college, university"
das,Hotel,-s,hotel
das,Publikum,die Publika,"public, audience"
die,Studie,-n,study
der/die,Vorsitzende,-n,chairperson
die,Analyse,-n,analysis
die,Spur,-en,"track, lane"
der,Berg,-e,"hill, mountain"
die,Erkenntnis,-se,"realization, discovery"
der,Faktor,-en,factor
der,Fehler,-,"mistake, error"
die,Freiheit,-en,freedom
die,Freizeit,-en,spare time
die,Gegend,-en,"area, region"
die,Kritik,-en,"criticism, review"
der,Partner,-,partner
der,See,-n,lake
die,See,-n,sea
der,Typ,-en,type
das,Ereignis,-se,event
die,Kontrolle,-n,inspection
das,Objekt,-e,object
das,Opfer,-,"sacrifice, victim"
der,Sprecher,-,speaker
der,Arbeitsplatz,-"e,"workplace, job"
die,Aufnahme,-n,"reception, recording, snapshot"
die,Fähigkeit,-en,"ability, capability"
die,Karte,-n,"card, ticket, menu"
der,Urlaub,-e,"vacation, holiday"
die,Verantwortung,-en,responsibility
die,Wahrheit,-en,truth
das,Gebäude,-,building
der,Gesellschafter,-,"associate, shareholder"
das,Jahrzehnt,-e,decade
der,Norden/Nord,Sg.,north
das,Ohr,-en,ear
die,Prüfung,-en,"examination, test"
die,Regelung,-en,"regulation, settlement"
das,Schiff,-e,ship
die,Ausstellung,-en,exhibition
der,Bezug,-"e,"reference, cover"
die,Bitte,-n,request
die,Hoffnung,-en,hope
der,Band,-"er,"volume, tome"
die,Band,-"er,band (musical)
das,Band,-"er,"ribbon, tape"
der,Bericht,-e,report
die,Einstellung,-en,"attitude, employment"
das,Gericht,-e,"court, dish"
der,Gewinn,-e,profit
der,König,-e,king
der,Sieg,-e,victory
die,Tat,-en,deed
der,Traum,-"e,dream
die,Union,-en,union
der,Besucher,-,visitor
der,Bund,-"e,"association, alliance"
der,Direktor,-en,director
die,Geographie,-n,geography
der,Hintergrund,-"e,background
die,Qualität,-en,quality
der,Rand,-"er,edge
die,Vergangenheit,-en,past
der,Abschnitt,-e,"portion, section"
der,Bauer,-n,farmer
die,Ehe,-n,marriage
die,Ursache,-n,cause
der,Verlust,-e,loss
der,Winter,-,winter
der,Zuschauer,-,spectator
die,Anzahl,Sg.,number
die,Insel,-n,island
das,Instrument,-e,instrument
die,Nachricht,-en,"news, message"
die,Pflanze,-n,plant
die,Störung,-en,"disturbance, interruption"
der,Vertreter,-,representative
der,Vorschlag,-"e,"suggestion, proposal"
der,Zentimeter,-,centimeter
der,Abstand,-"e,distance
die,Bildung,-en,education
die,Eigenschaft,-en,quality
die,Generation,-en,generation
der,Leiter,-n,leader
die,Leiter,-n,ladder
der,Abschluss,-"e,"end, conclusion"
das,Blatt,-"er,"sheet, leaf"
der,Geist,-er,"mind, spirit"
das,Interview,-s,interview
das,Semester,Sg.,semester
der,Stand,-"e,"stand, stage"
die,Tradition,-en,tradition
die,Anlage,-n,"sport complex, investment, attachment"
die,Behörde,-n,"department, authorities"
die,Bühne,-n,stage
die,Dame,-n,lady
das,Element,-e,element
die,Gelegenheit,-en,opportunity
der,Hof,-"e,"courtyard, yard"
die,Kommunikation,-en,communication
die,Mama,-s,mamma
das,Museum,die Museen,museum
die,Nutzung,-en,use
die,Basis,die Basen,basis
die,Ecke,-n,corner
der,Herbst,-e,autumn
das,Kriterium,die Kriterien,criterion
der,Terror,Sg.,terror
das,Verständnis,-se,understanding
die,Zusammenarbeit,-en,cooperation
die,Ansicht,-en,"opinion, view"
die,Auseinandersetzung,-en,"argument, quarrel"
die,Bahn,-en,"train, railway, way"
die,Bürgermeister,-,mayor
die,Definition,-en,definition
das,Flugzeug,-e,airplane
das,Foto,-s,photograph
die,Masse,-n,"mass, crowd"
die,Nation,-en,nation
die,Phase,-n,phase
der,Stein,-e,"rock, stone"
der,Ton,-e,"sound, tone, clay"
die,Veranstaltung,-en,event
die,Änderung,-en,change
die,Ausnahme,-n,exception
der,Bau,-ten,"construction, building"
das,Hobby,-s,hobby
der,Kaffee,-s,coffee
der,Konflikt,-e,conflict
die,Leitung,-en,"management, leadership, pipe"
die,Lust,-"e,desire
die,Mehrheit,-en,majority
der,Nachmittag,-e,afternoon
die,Rechnung,-en,"bill, calculation"
das,Schloss,-"er,"lock, castle"
die,Aktivität,-en,activity
das,Dach,-"er,roof
das,Fest,-e,"festival, celebration"
der,Kandidat,-en,candidate
die,Landschaft,-en,"landscape, countryside"
die,Mannschaft,-en,"crew, team"
die,Mauer,-n,wall
die,Runde,-n,round
der,Stern,-e,star
der,Experte,-n,expert
die,Gestalt,-en,"shape, form, figure"
der,Laden,-",shop
der,Meister,-,master
die,Stellung,-en,"position, standing"
der,Zugang,-"e,access
die,Branche,-n,"sector, line of business"
die,Figur,-en,figure
der,Frieden,Sg.,peace
die,Industrie,-n,industry
der,Umgang,-"e,"dealings, contact"
der,Vorgang,-"e,occurrence
das,Wachstum,Sg.,growth
das,Büro,-s,office
die,Darstellung,-en,"presentation, description"
der,Fußball,-"e,"soccer, football"
die,Gewalt,-en,"violence, force"
die,Institution,-en,institution
die,Katze,-n,cat
der,Konzern,-e,business group
das,Lager,-,"camp, storeroom"
die,Lehre,-n,"apprenticeship, lesson, doctrine"
das,Pferd,-e,horse
der,Rat,-"e,advice
der,Schatten,-,"shadow, shade"
die,Spitze,-n,"point, top, peak"
die,Strecke,-n,"distance, route"
die,Szene,-n,scene
die,Weltmeisterschaft,-en,world championship
das,Blut,-e,blood
die,Dauer,-n,length of time
das,Feuer,-,fire
das,Gymnasium,die Gymnasien,secondary school
die,Konsequenz,-en,consequence
die,Nase,-n,nose
der,Stuhl,-"e,chair
der,Süden/Süd,Sg.,south
das,Tor,-e,"gate, goal"
der,Verband,-"e,"association, bandage"
die,Aktie,-n,share
die,Aktion,-en,"action, campaign"
der,Anlass,-"e,"occasion, cause"
die,Ausgabe,-n,"distribution, edition, expenses"
der,Ausländer,-,foreigner
das,Bundesland,-"er,"state, province"
der,Club,-s,club
der,Fluss,-"e,river
die,Führung,-en,"management, leadership, command"
die,Geschwindigkeit,-en,speed
das,Gut,-"er,"estate, goods"
die,Medizin,-en,medicine
der,Nachbar,-n,neighbor
die,Software,-s,software
die,Stufe,-n,"step, level"
das,Telefon,-e,telephone
der,Terrorismus,Sg.,terrorism
der,Trainer,-,coach
der,Zweifel,-,doubt
die,Anforderung,-en,"request, demand"
das,Bad,-"er,"bath, bathroom, spa"
die,Belastung,-en,"load, strain"
der,Bus,-se,bus
der,Effekt,-e,effect
die,Messe,-n,"trade fair, mass"
der,Umfang,-"e,"circumference, size, extent"
die,Vorschrift,-en,"instruction, regulation"
das,Fahrrad,-"er,bicycle
die,Kommission,-en,"commission, committee"
das,Krankenhaus,-"er,hospital
der,Mangel,-","lack, shortage, defect"
der,Richter,-,judge
der,Terrorist,-en,terrorist
das,Urteil,-e,"sentence, judgement"
der,Anbieter,-,supplier
die,Decke,-n,"ceiling, blanket"
der,Fisch,-e,fish
das,Fleisch,Sg.,"meat, flesh"
die,Jugend,Sg.,youth
der,Schmerz,-en,"pain, grief"
die,Schuld,-en,guilt
die,Stimmung,-en,"mood, atmosphere"
die,Tasche,-n,"pocket, bag"
der,Wein,-e,wine
die,Welle,-n,wave
der,Wettbewerb,-e,competition
das,Wetter,-,weather
die,Alternative,-n,alternative
die,Auswirkung,-en,effect
das,Bedürfnis,-se,need
die,Haltung,-en,"posture, attitude"
der,Leser,-,reader
die,Tante,-n,aunt
die,Temperatur,-en,temperature
die,Waffe,-n,weapon
die,Ware,-n,goods
die,Ahnung,-en,"suspicion, idea"
die,Brust,-"e,"breast, chest"
die,Einführung,-en,introduction
die,Fahrt,-en,"drive, trip"
die,Förderung,-en,"support, sponsorship"
das,Kleid,-er,dress
die,Koalition,-en,coalition
die,Länge,-n,length
das,Loch,-"er,hole
der,Manager,-,manager
die,Quelle,-n,"source, spring"
der,Regen,Sg.,rain
die,Religion,-en,religion
der,Spieler,-,player
die,Summe,-n,sum
der,Termin,-e,"appointment, date"
der,Test,-s,test
der,Tourist,-en,tourist
der,Umsatz,-"e,"turnover, sales"
das,Vertrauen,Sg.,"trust, faith"
die,Verwendung,-en,use
der,Vorwurf,-"e,"reproach, accusation"
der,Wissenschaftler,-,"scholar, scientist"
das,Bier,-e,beer
die,Bundesregierung,-en,federal government
das,Konzert,-e,concert
die,Krise,-n,crisis
die,Landwirtschaft,-en,agriculture
das,Leid,Sg.,"sorrow, grief"
das,Lied,-er,song
das,Merkmal,-e,feature
das,Parlament,-e,parliament
die,Pause,-n,"pause, break"
die,Perspektive,-n,"perspective, prospects"
das,Phänomen,-e,phenomenon
die,Realität,-en,reality
die,Suche,-n,search
der,Weltkrieg,-e,world war
der,Arbeitgeber,-,employer
der,Aufbau,-ten,"construction, structure"
die,Bestimmung,-en,"regulation, purpose, fate"
die,Botschaft,-en,message
das,Brot,-e,bread
die,Flasche,-n,bottle
die,Formel,-n,formula
der,Fortschritt,-e,progress
der,Geburtstag,-e,birthday
die,Gegenwart,Sg.,present
die,Hauptstadt,-"e,capital city
die,Mühe,-n,"effort, trouble"
die,Nachfrage,-n,demand
die,Pflicht,-en,duty
der,Studiengang,Sg.,course of study
der,Teilnehmer,-,participant
der,Wille,-n,will
die,Debatte,-n,debate
die,Fremdsprache,-n,foreign language
der,Gegner,-,"opponent, competitor, enemy"
die,Hinsicht,-en,respect
der,Käufer,-,buyer
das,Kilogramm,-e,kilogram
die,Verwaltung,-en,administration
die,Weile,-n,while
die,Adresse,-n,address
der,Betrag,-"e,amount
der,Hals,-"e,"neck, throat"
die,Heimat,-en,"home, homeland"
der,Kauf,-"e,purchase
das,Kino,-s,"cinema, movie theater"
die,Konkurrenz,-en,competition
die,Mathematik,Sg.,mathematics
die,Schicht,-en,"layer, class"
der,Schwerpunkt,-e,"main emphasis, center of gravity"
der,Streit,-e,"argument, fight"
die,Verhandlung,-en,negotiation
der,Ablauf,-"e,"expiry, action"
der,Arbeitnehmer,-,employee
das,Drittel,-,third
der/die,Erwachsene,-,"adult, grown-up"
der,Fahrer,-,driver
das,Gegenteil,-e,opposite
die,Gemeinschaft,-en,community
die,Gewerkschaft,-en,trade union
der,Handel,-",trade
der,Kanzler,-,chancellor
das,Management,-s,management
der,Millimeter,-,millimeter
der,Minister,-,minister
der,Nachteil,-e,disadvantage
die,Platte,-n,"disk, record, plate"
der,Sitz,-e,"seat, headquarters"
der,Start,-s,"start, take-off, launch"
die,Tabelle,-n,"table, chart"
der,Tourismus,Sg.,tourism
der,Verdacht,-e,suspicion
der,Vogel,-",bird
