german,english,german_full,s1,t1,s2,t2,s3,t3,s4,t4,s5,t5,s6,t6
Abbildung,illustration,"die Abbildung, -en","Auf der Abbildung sehen Sie, wie man das Gerät einschaltet.",The illustration shows you how to switch on the device.,,,,,,,,,,
Abenteuer,adventure,"das Abenteuer, -",Unser Urlaub war ein tolles Abenteuer.,Our vacation was a great adventure.,Die Kinder lieben Abenteuergeschichten.,Children love adventure stories.,,,,,,,,
Abfahrt,departure,"die Abfahrt, -en",Es bleiben uns noch zwanzig Minuten bis zur Abfahrt.,We still have twenty minutes until departure.,,,,,,,,,,
Abfall,waste,"der Abfall, ¨-e",Werfen Sie den Bioabfall bitte nicht zum normalen Müll.,Please do not throw the organic waste in with the normal waste.,,,,,,,,,,
Abfalleimer,garbage can,"der Abfalleimer, -",Wirf das bitte in den Abfalleimer!,Please throw this in the garbage can!,,,,,,,,,,
Abitur,"Abitur, school leaving examination","das Abitur (D) 
→ A, CH: Matura",Meine Tochter hat gerade Abitur gemacht.,My daughter has just graduated from high school.,,,,,,,,,,
Abonnement,subscription,"das Abonnement, -s/-e",Ich habe das Abonnement gekündigt.,I have canceled my subscription.,,,,,,,,,,
Abschluss,"conclusion, completion, graduation","der Abschluss, ¨-e",Ein guter Schulabschluss ist sehr wichtig.,A good school-leaving certificate is very important.,,,,,,,,,,
Abschnitt,section,"der Abschnitt, -e",Lesen Sie bitte den zweiten Abschnitt.,Please read the second section.,,,,,,,,,,
"Absender, Absenderin",sender,"der Absender, - 
die Absenderin, -nen",Schicken Sie das Paket an den Absender zurück.,Return the parcel to the sender.,,,,,,,,,,
Absicht,intention,"die Absicht, -en",Entschuldigen Sie bitte. Meine Tochter hat das nicht mit Absicht gemacht.,Please excuse me. My daughter didn't do that on purpose.,Hast du die Absicht zu studieren?,Do you intend to study?,,,,,,,,
Abteilung,department,"die Abteilung, -en",Meine Freundin arbeitet in der Abteilung von Frau Kaufmann.,My friend works in Ms. Kaufmann's department.,,,,,,,,,,
"Abwart, Abwartin",caretaker,"der Abwart, -e 
die Abwartin, -nen (CH) 
-> D, A: Hausmeister","Der Abwart hat mir geholfen, den Schrank in die Wohnung zu tragen.",The caretaker helped me carry the cupboard into the apartment.,,,,,,,,,,
Adresse,address,"die Adresse, -n",Hast du schon meine neue Adresse?,Do you already have my new address?,,,,,,,,,,
Ahnung,"idea, clue","die Ahnung, -en","Ich hatte keine Ahnung, dass du heute Geburtstag hast.",I had no idea it was your birthday today.,,,,,,,,,,
Aktion,"action, campaign, initiative","die Aktion, -en",Die Stadt sollte eine Aktion für Familien planen.,The city should plan a campaign for families.,,,,,,,,,,
Aktivität,activity,"die Aktivität, -en",In den Ferien bietet die Stadt für Kinder verschiedene Freizeitaktivitäten.,"During the vacations, the city offers various leisure activities for children.",,,,,,,,,,
Alarm,alarm,"der Alarm, -e",Bei Feueralarm dürfen Sie die Aufzüge nicht benutzen.,"If the fire alarm sounds, you may not use the elevators.",,,,,,,,,,
Alkohol,alcohol,der Alkohol,Du musst die Wunde mit Alkohol reinigen.,You must clean the wound with alcohol.,"Nein, danke! Ich trinke keinen Alkohol.","No, thank you! I don't drink alcohol.",,,,,,,,
Alltag,everyday life,"der Alltag, -e","Das ist mein Alltag: putzen, waschen, kochen.","That's my everyday life: cleaning, washing, cooking.",,,,,,,,,,
Alphabet,alphabet,"das Alphabet, -e",Wie viele Buchstaben hat das Alphabet in Ihrer Sprache?,How many letters does the alphabet have in your language?,,,,,,,,,,
Alter,age,"das Alter, -",Wir sind etwa im gleichen Alter.,We are about the same age.,Alter: 26 Jahre,Age: 26 years,,,,,,,,
Altenheim,old people's home,"das Altenheim, -e 
→ Altersheim",Die Großeltern unserer Nachbarn sind im Altenheim.,Our neighbors' grandparents are in a retirement home.,,,,,,,,,,
Alternative,alternative,"die Alternative, -n",Auf dieser Strecke ist der Zug eine gute Alternative zum Flugzeug.,The train is a good alternative to the plane on this route.,,,,,,,,,,
